date,temperature_series_1,temperature_series_2
2020-01-01,25.917086983699456,30.11721892700062
2020-01-02,25.140584154379304,31.770254561936913
2020-01-03,26.495376475845124,32.52082741879813
2020-01-04,27.984098869423434,36.05164828773717
2020-01-05,25.52383098052832,34.132281079282066
2020-01-06,25.699108355008015,31.369993661162592
2020-01-07,28.594080875084593,34.17644209104348
2020-01-08,27.551006134295367,31.198987794973288
2020-01-09,25.869828896724467,35.21489889767865
2020-01-10,27.561610661480948,32.95343471682312
2020-01-11,26.22586763689928,33.587246541581464
2020-01-12,26.39506650933957,35.782274088998165
2020-01-13,27.628664982913868,31.92699113437855
2020-01-14,24.567205384954068,31.824476078700876
2020-01-15,25.02044738246418,33.10541167352424
2020-01-16,26.934336090849897,35.59725814249743
2020-01-17,26.427659726593543,31.817753836795156
2020-01-18,28.586563329984546,29.90380903436813
2020-01-19,26.92054042857089,33.52874307596471
2020-01-20,26.330555139358903,35.08468454073756
2020-01-21,30.812919866123206,36.10719512929283
2020-01-22,28.440172383744027,33.65991150439853
2020-01-23,29.043425901575144,33.783471806997696
2020-01-24,26.96716757515482,36.175513924909296
2020-01-25,28.44868472649951,31.682180688282315
2020-01-26,29.591377905904586,33.944208738896926
2020-01-27,27.856959027945457,34.85087616327951
2020-01-28,30.304126253193424,35.27536068916564
2020-01-29,28.995380167668802,33.87114536712222
2020-01-30,29.613140792082458,34.71985949646125
2020-01-31,29.301004461031027,30.966059130580867
2020-02-01,33.13336031025474,33.73952976027029
2020-02-02,30.48452793029924,35.433508720236645
2020-02-03,29.06644703402536,33.30413053998963
2020-02-04,32.03343669896931,34.888348740786384
2020-02-05,29.113283803134447,35.49044966269728
2020-02-06,31.401056958356964,34.32454670975041
2020-02-07,28.289709813115756,35.11025087726436
2020-02-08,29.376589829317833,33.42459081161547
2020-02-09,31.801974988671123,34.570852133371616
2020-02-10,32.750317967750235,35.80611348895425
2020-02-11,32.03368717144134,35.13420608899407
2020-02-12,31.7352221929638,34.024841440924085
2020-02-13,31.587104260067623,35.244786598912015
2020-02-14,29.949010020104424,35.98213055180294
2020-02-15,31.21299120714609,31.834986936688807
2020-02-16,31.725659097997703,36.64612155800729
2020-02-17,34.12402008065779,34.39866869081366
2020-02-18,33.17330857967683,35.53475549705435
2020-02-19,30.130656041929367,36.683791581677035
2020-02-20,33.37643454668138,32.819744002904045
2020-02-21,32.4255018035427,33.800361715774784
2020-02-22,32.098250968656544,34.4169073399677
2020-02-23,34.13931774304421,33.65724954576444
2020-02-24,34.87410170452955,37.41638080869934
2020-02-25,34.827921356803195,33.50786559765098
2020-02-26,32.27314388328728,33.93670864682475
2020-02-27,33.16666213230165,35.05158093807553
2020-02-28,34.22339994192015,32.91471198849439
2020-02-29,35.28333292360245,34.095331825219574
2020-03-01,33.19222416604415,35.13393514269197
2020-03-02,33.72090146359058,34.12536135538335
2020-03-03,32.425701012610936,34.449471941888866
2020-03-04,32.37409201184787,33.75846768173231
2020-03-05,35.46775064912155,32.241697741308485
2020-03-06,36.36122076383422,34.95476507870496
2020-03-07,34.29406131409612,37.06179317672151
2020-03-08,35.979887514940465,34.412072701060524
